gender,province,education,age_group
Male,NL,low,very_old_people
Male,ON,low,very_old_people
Female,BC,medium,adult
Female,NB,medium,young_people
Male,SK,low,very_old_people
Female,ON,medium,old_people
Male,BC,medium,old_people
Male,SK,high,old_people
Male,NS,low,young_people
Male,AB,low,very_old_people
Male,QC,medium,young_people
Female,QC,medium,old_people
Female,SK,medium,very_old_people
Female,MB,high,old_people
Male,ON,low,young_people
Female,ON,medium,old_people
Female,NB,medium,very_old_people
Female,ON,high,very_old_people
Male,NS,medium,adult
Male,QC,high,adult
Female,ON,high,old_people
Female,QC,low,very_old_people
Female,SK,medium,adult
Female,QC,high,young_people
Female,ON,medium,adult
Female,NS,medium,old_people
Female,NL,medium,very_old_people
Female,AB,high,old_people
Male,ON,high,adult
Female,ON,medium,young_people
Female,MB,medium,adult
Female,ON,high,young_people
Male,QC,medium,adult
Female,ON,medium,old_people
Male,BC,medium,old_people
Female,ON,high,old_people
Female,ON,high,old_people
Female,NS,medium,old_people
Female,ON,high,adult
Female,BC,high,old_people
Male,QC,medium,old_people
Male,ON,high,very_old_people
Male,BC,medium,adult
Male,QC,medium,old_people
Male,NL,high,old_people
Female,MB,high,adult
Female,QC,medium,old_people
Female,BC,low,very_old_people
Female,ON,medium,old_people
Male,BC,medium,adult
Male,SK,high,very_old_people
Female,SK,medium,adult
Male,QC,medium,adult
Male,BC,medium,old_people
Male,NB,low,old_people
Male,NL,medium,old_people
Female,BC,high,adult
Female,ON,high,adult
Female,MB,medium,old_people
Male,NS,medium,old_people
Female,ON,medium,very_old_people
Male,NL,medium,young_people
Female,NB,medium,adult
Male,BC,medium,very_old_people
Male,ON,medium,adult
Female,MB,high,old_people
Female,ON,medium,adult
Female,BC,high,old_people
Female,ON,medium,old_people
Male,ON,medium,old_people
Male,ON,high,adult
Male,QC,medium,old_people
Male,ON,medium,old_people
Female,ON,medium,very_old_people
Female,PE,high,adult
Female,NL,medium,adult
Female,BC,high,old_people
Male,ON,high,adult
Male,NS,high,young_people
Male,NL,low,adult
Male,ON,medium,very_old_people
Female,NL,high,young_people
Male,ON,high,young_people
Male,BC,medium,old_people
Female,SK,medium,old_people
Female,NS,medium,very_old_people
Female,QC,medium,adult
Male,PE,medium,adult
Female,NS,low,old_people
Male,NB,high,young_people
Female,NS,medium,adult
Female,ON,high,adult
Female,SK,low,old_people
Male,MB,low,very_old_people
Female,NS,medium,old_people
Male,BC,medium,adult
Male,ON,low,old_people
Male,ON,medium,young_people
Male,QC,medium,adult
Female,ON,high,old_people
Male,ON,high,adult
Male,ON,medium,young_people
Female,BC,medium,old_people
Male,ON,medium,old_people
Female,QC,high,old_people
Female,AB,high,young_people
Male,BC,medium,adult
Male,NB,high,very_old_people
Male,SK,medium,adult
Female,ON,high,old_people
Female,BC,medium,old_people
Female,PE,high,adult
Female,ON,high,adult
Female,ON,high,very_old_people
Female,NS,medium,old_people
Female,NB,medium,old_people
Female,ON,high,very_old_people
Male,ON,high,old_people
Male,ON,medium,very_old_people
Female,ON,medium,old_people
Female,AB,low,old_people
Female,NB,medium,adult
Male,ON,medium,old_people
Male,NS,high,adult
Female,SK,medium,adult
Female,MB,low,very_old_people
Female,NS,medium,old_people
Female,QC,medium,very_old_people
Female,ON,medium,young_people
Female,QC,medium,old_people
Female,QC,medium,young_people
Female,AB,medium,old_people
Female,BC,medium,adult
Male,QC,high,old_people
Female,ON,low,very_old_people
Female,SK,medium,adult
Female,NL,medium,adult
Male,ON,low,old_people
Female,MB,medium,old_people
Female,QC,medium,old_people
Male,NS,high,old_people
Male,ON,high,adult
Male,ON,high,very_old_people
Male,BC,medium,old_people
Male,NS,medium,old_people
Female,BC,medium,old_people
Male,QC,low,adult
Male,ON,medium,adult
Female,PE,medium,very_old_people
Female,AB,high,adult
Female,AB,medium,old_people
Male,ON,medium,adult
Male,QC,medium,adult
Male,SK,medium,adult
Female,NS,high,young_people
Female,BC,high,adult
Male,QC,high,adult
Female,BC,high,adult
Male,ON,medium,adult
Male,NB,medium,old_people
Female,ON,high,adult
Female,QC,low,very_old_people
Female,NB,high,adult
Female,ON,high,adult
Male,NS,low,old_people
Male,QC,medium,adult
Female,QC,medium,young_people
Male,PE,medium,old_people
Female,BC,medium,old_people
Male,ON,medium,old_people
Female,QC,high,adult
Female,NL,low,old_people
Male,NS,high,young_people
Male,AB,low,very_old_people
Male,QC,high,adult
Female,ON,medium,young_people
Female,ON,medium,young_people
Male,NS,medium,young_people
Female,AB,medium,adult
Male,SK,high,young_people
Female,ON,medium,old_people
Female,PE,medium,old_people
Male,NL,medium,old_people
Female,ON,low,old_people
Male,NS,low,very_old_people
Male,QC,medium,old_people
Female,QC,low,very_old_people
Female,ON,high,old_people
Male,NS,high,adult
Female,SK,high,adult
Female,ON,medium,adult
Female,QC,high,young_people
Male,ON,medium,adult
Male,NL,medium,old_people
Female,AB,medium,old_people
Female,QC,medium,very_old_people
Male,AB,low,old_people
Female,ON,high,old_people
Female,QC,low,very_old_people
Female,BC,low,old_people
Female,AB,high,young_people
Female,BC,high,old_people
Female,ON,high,adult
Female,MB,low,very_old_people
Male,QC,low,very_old_people
Female,ON,medium,young_people
Male,ON,medium,very_old_people
Male,ON,high,adult
Male,AB,medium,old_people
Female,AB,medium,old_people
Female,BC,high,adult
Female,ON,medium,old_people
Male,MB,medium,adult
Female,NL,high,adult
Male,ON,medium,old_people
Male,ON,medium,old_people
Female,MB,medium,old_people
Male,ON,medium,adult
Female,NS,high,adult
Male,ON,high,old_people
Male,AB,high,old_people
Male,AB,medium,old_people
Male,BC,high,very_old_people
Male,AB,low,very_old_people
Female,QC,low,very_old_people
Male,QC,high,old_people
Female,BC,medium,adult
Female,BC,low,old_people
Male,NL,medium,young_people
Female,QC,low,old_people
Female,MB,high,adult
Male,AB,high,young_people
Male,ON,medium,old_people
Male,QC,low,old_people
Male,NB,medium,adult
Male,MB,medium,old_people
Female,ON,medium,old_people
Male,SK,medium,adult
Male,NS,medium,old_people
Female,PE,high,old_people
Female,NL,high,old_people
Female,QC,high,old_people
Female,QC,high,old_people
Male,QC,low,old_people
Female,BC,medium,old_people
Male,QC,low,very_old_people
Male,NB,high,old_people
Female,AB,high,old_people
Female,AB,high,young_people
Male,QC,medium,adult
Male,NL,low,old_people
Female,ON,high,old_people
Female,MB,low,very_old_people
Female,QC,medium,adult
Female,NB,medium,adult
Female,ON,high,very_old_people
Female,AB,medium,adult
Female,ON,low,old_people
Male,BC,medium,adult
Female,QC,medium,adult
Male,ON,high,adult
Female,NS,high,adult
Male,AB,medium,old_people
Female,BC,high,adult
Female,ON,medium,very_old_people
Female,NL,high,young_people
Female,BC,medium,adult
Female,AB,medium,adult
Female,MB,medium,very_old_people
Male,SK,medium,old_people
Female,ON,medium,old_people
Female,QC,medium,young_people
Male,NS,medium,adult
Male,NS,medium,old_people
Male,QC,high,old_people
Male,BC,medium,adult
Male,BC,high,adult
Female,ON,high,very_old_people
Female,ON,high,adult
Male,BC,high,adult
Female,QC,low,old_people
Female,BC,high,adult
Female,ON,high,very_old_people
Female,QC,high,adult
Male,ON,medium,old_people
Male,NB,medium,old_people
Female,NB,medium,old_people
Female,MB,low,old_people
Female,SK,high,old_people
Male,QC,medium,adult
Male,QC,medium,old_people
Male,ON,medium,old_people
Male,ON,high,adult
Male,ON,high,adult
Male,QC,medium,adult
Male,QC,medium,adult
Male,ON,medium,old_people
Male,SK,medium,young_people
Male,NB,medium,adult
Male,SK,medium,young_people
Female,ON,high,adult
Female,NB,low,very_old_people
Male,ON,medium,adult
Female,AB,medium,adult
Male,SK,medium,adult
Female,SK,medium,old_people
Male,ON,low,very_old_people
Female,NB,low,old_people
Female,ON,medium,adult
Female,NS,high,old_people
Female,BC,high,old_people
Male,ON,high,old_people
Male,NS,medium,young_people
Male,ON,high,old_people
Male,QC,medium,old_people
Male,ON,medium,adult
Male,QC,medium,old_people
Male,QC,high,adult
Female,ON,high,adult
Male,SK,low,adult
Female,ON,high,adult
Female,QC,high,very_old_people
Female,NS,high,old_people
Female,ON,medium,young_people
Female,AB,medium,old_people
Female,BC,high,old_people
Male,QC,medium,adult
Male,ON,medium,adult
Male,ON,medium,old_people
Male,QC,low,young_people
Female,NB,low,very_old_people
Female,MB,medium,adult
Female,AB,medium,old_people
Male,AB,medium,very_old_people
Female,BC,high,adult
Male,MB,low,very_old_people
Male,BC,low,very_old_people
Male,BC,medium,adult
Female,ON,high,old_people
Male,ON,medium,adult
Male,AB,medium,adult
Male,ON,high,adult
Female,QC,medium,young_people
Female,NL,high,very_old_people
Female,QC,medium,old_people
Male,NS,low,very_old_people
Male,NL,medium,very_old_people
Female,BC,high,adult
Male,BC,medium,young_people
Female,ON,medium,very_old_people
Male,NS,high,old_people
Male,AB,high,very_old_people
Female,QC,medium,young_people
Female,MB,low,very_old_people
Female,QC,medium,young_people
Female,ON,medium,old_people
Male,PE,medium,very_old_people
Female,ON,medium,old_people
Male,NL,high,young_people
Male,ON,medium,adult
Female,AB,high,young_people
Male,PE,medium,adult
Female,QC,high,adult
Female,NS,medium,very_old_people
Male,NS,medium,old_people
Male,NS,high,adult
Female,NL,high,old_people
Male,ON,medium,adult
Male,NB,medium,adult
Female,BC,medium,adult
Female,NB,medium,very_old_people
Female,ON,medium,adult
Female,ON,high,old_people
Female,NB,medium,old_people
Female,QC,medium,young_people
Female,QC,low,old_people
Male,ON,medium,very_old_people
Male,NB,low,very_old_people
Male,ON,medium,adult
Female,ON,medium,young_people
Male,MB,medium,adult
Male,BC,medium,old_people
Female,ON,medium,very_old_people
Female,BC,high,adult
Female,ON,medium,old_people
Male,ON,medium,old_people
Female,MB,medium,very_old_people
Female,QC,high,old_people
Male,QC,low,very_old_people
Male,QC,medium,adult
Male,BC,low,very_old_people
Male,BC,high,old_people
Female,NS,medium,very_old_people
Female,ON,medium,young_people
Male,MB,medium,adult
Female,PE,medium,adult
Male,BC,medium,old_people
Female,ON,medium,adult
Female,ON,medium,adult
Male,MB,low,adult
Male,BC,medium,old_people
Male,ON,high,adult
Male,ON,medium,very_old_people
Male,BC,medium,adult
Female,ON,medium,old_people
Male,BC,medium,old_people
Male,ON,medium,old_people
Female,ON,medium,adult
Female,QC,medium,adult
Female,PE,medium,old_people
Female,SK,medium,adult
Male,NB,medium,old_people
Male,NS,medium,old_people
Female,NL,high,old_people
Female,MB,low,old_people
Female,ON,high,very_old_people
Female,QC,medium,adult
Male,QC,high,very_old_people
Male,ON,high,old_people
Female,SK,medium,old_people
Male,ON,high,old_people
Female,ON,medium,young_people
Male,MB,medium,old_people
Female,ON,high,old_people
Female,QC,medium,old_people
Female,AB,high,old_people
Male,NS,high,adult
Female,QC,medium,very_old_people
Male,AB,medium,adult
Female,AB,medium,adult
Female,QC,medium,old_people
Male,MB,low,very_old_people
Female,ON,medium,adult
Male,SK,medium,very_old_people
Female,ON,low,old_people
Male,QC,medium,young_people
Male,AB,medium,very_old_people
Male,NS,medium,adult
Female,AB,low,old_people
Female,NB,low,very_old_people
Female,MB,medium,very_old_people
Male,SK,medium,old_people
Male,ON,medium,very_old_people
Male,PE,medium,old_people
Female,ON,medium,adult
Female,ON,medium,old_people
Female,QC,medium,adult
Female,NS,medium,very_old_people
Male,ON,high,adult
Male,AB,medium,young_people
Female,ON,medium,old_people
Male,QC,high,old_people
Male,NB,high,old_people
Female,ON,high,old_people
Male,QC,high,old_people
Female,BC,medium,very_old_people
Male,ON,low,very_old_people
Female,NB,medium,old_people
Male,BC,high,old_people
Female,ON,medium,old_people
Male,NB,medium,old_people
Female,QC,medium,adult
Male,AB,medium,young_people
Female,NB,low,old_people
Female,NB,medium,adult
Male,NB,high,young_people
Female,BC,medium,adult
Male,ON,medium,very_old_people
Female,BC,medium,adult
Male,ON,high,young_people
Female,QC,low,very_old_people
Female,BC,medium,old_people
Female,ON,high,old_people
Male,MB,medium,adult
Male,NL,medium,young_people
Male,NS,low,very_old_people
Male,BC,medium,old_people
Female,QC,medium,old_people
Female,MB,medium,adult
Female,NB,low,old_people
Female,PE,high,old_people
Male,MB,medium,very_old_people
Female,QC,medium,old_people
Female,QC,high,adult
Male,QC,medium,adult
Male,ON,high,adult
Male,ON,medium,old_people
Male,ON,medium,old_people
Female,QC,medium,adult
Female,ON,medium,old_people
Male,NB,medium,old_people
Male,NL,high,adult
Female,QC,high,old_people
Male,QC,low,young_people
Male,MB,high,adult
Female,ON,medium,very_old_people
Female,ON,medium,very_old_people
Male,ON,medium,young_people
Male,SK,medium,adult
Male,ON,medium,old_people
Male,QC,low,old_people
Male,ON,medium,very_old_people
Male,AB,high,old_people
Male,NB,medium,old_people
Male,MB,medium,very_old_people
Female,AB,high,old_people
Male,QC,medium,adult
Male,QC,high,old_people
Male,ON,high,young_people
Female,PE,high,adult
Male,NB,medium,very_old_people
Female,NL,medium,adult
Male,ON,medium,adult
Male,ON,medium,young_people
Male,QC,medium,adult
Male,ON,medium,old_people
Female,PE,medium,old_people
Male,QC,low,very_old_people
Female,ON,high,very_old_people
Male,BC,high,adult
Male,QC,high,adult
Female,SK,high,adult
Male,QC,medium,young_people
Female,NS,low,very_old_people
Male,PE,low,very_old_people
Male,ON,low,very_old_people
Male,NL,high,old_people
Male,NS,low,old_people
Male,AB,medium,adult
Female,ON,medium,old_people
Female,ON,low,old_people
Male,BC,low,young_people
Male,ON,medium,old_people
Female,QC,high,young_people
Male,MB,low,old_people
Male,NB,high,adult
Female,ON,high,adult
Female,BC,low,very_old_people
Female,NS,medium,very_old_people
Female,MB,medium,adult
Female,ON,medium,young_people
Female,ON,medium,old_people
Female,PE,medium,old_people
Male,ON,medium,old_people
Male,ON,high,old_people
Female,NL,low,very_old_people
Male,QC,low,old_people
Female,SK,low,young_people
Male,QC,medium,very_old_people
Female,QC,low,old_people
Female,QC,medium,very_old_people
Male,ON,high,old_people
Female,NL,medium,old_people
Male,ON,high,adult
Male,NS,low,old_people
Male,NB,medium,old_people
Female,ON,medium,old_people
Female,NB,high,old_people
Female,QC,medium,old_people
Female,BC,medium,very_old_people
Male,AB,medium,young_people
Female,ON,high,adult
Male,ON,high,young_people
Male,NL,medium,very_old_people
Female,QC,high,adult
Female,ON,high,adult
Male,ON,high,adult
Female,NB,high,old_people
Female,ON,medium,very_old_people
Female,PE,medium,adult
Female,NL,high,old_people
Female,ON,medium,very_old_people
Female,QC,medium,old_people
Male,PE,medium,young_people
Male,QC,high,adult
Female,PE,medium,very_old_people
Female,AB,high,old_people
Female,QC,low,very_old_people
Female,MB,high,adult
Female,PE,medium,old_people
Male,QC,high,adult
Female,QC,low,old_people
Female,AB,medium,adult
Male,NB,low,old_people
Female,BC,low,old_people
Female,MB,medium,old_people
Male,ON,medium,very_old_people
Female,ON,medium,young_people
Female,NB,high,adult
Male,ON,medium,old_people
Female,PE,medium,old_people
Female,PE,medium,adult
Female,NL,medium,old_people
Female,ON,high,old_people
Female,ON,high,adult
Male,NB,low,adult
Female,ON,medium,adult
Male,QC,medium,old_people
Female,AB,high,young_people
Female,SK,high,adult
Male,ON,high,old_people
Female,BC,high,old_people
Female,ON,high,adult
Male,QC,medium,old_people
Female,NS,low,old_people
Female,ON,low,very_old_people
Female,SK,low,very_old_people
Female,NL,medium,old_people
Male,ON,medium,old_people
Female,ON,medium,very_old_people
Male,NS,medium,adult
Female,SK,high,very_old_people
Female,NL,low,old_people
Female,ON,high,adult
Male,NB,low,old_people
Female,QC,medium,adult
Female,QC,medium,old_people
Female,AB,medium,adult
Female,NL,high,adult
Female,QC,medium,old_people
Male,PE,medium,young_people
Female,QC,medium,old_people
Female,QC,high,young_people
Female,ON,medium,old_people
Female,NL,low,old_people
Male,ON,medium,young_people
Female,SK,medium,very_old_people
Male,MB,medium,adult
Male,SK,high,old_people
Female,BC,medium,old_people
Male,ON,high,young_people
Female,AB,medium,old_people
Female,PE,medium,old_people
Female,ON,medium,adult
Male,BC,high,adult
Male,AB,high,adult
Male,BC,medium,young_people
Male,ON,high,adult
Male,ON,medium,adult
Male,AB,medium,adult
Male,ON,medium,adult
Male,NS,medium,old_people
Female,ON,high,adult
Male,BC,medium,adult
Female,ON,medium,very_old_people
Male,QC,high,adult
Female,AB,medium,adult
Male,NL,high,old_people
Female,SK,medium,adult
Male,NB,medium,old_people
Female,ON,high,adult
Male,BC,high,adult
Female,PE,medium,very_old_people
Female,MB,medium,young_people
Female,PE,low,old_people
Male,ON,medium,young_people
Female,ON,high,young_people
Female,ON,medium,young_people
Female,ON,medium,very_old_people
Male,ON,medium,adult
Female,PE,medium,adult
Female,QC,high,adult
Female,NL,high,adult
Male,NS,high,very_old_people
Male,ON,high,young_people
Male,ON,high,old_people
Female,NL,medium,adult
Female,AB,medium,old_people
Female,AB,high,adult
Female,BC,medium,very_old_people
Female,NS,high,adult
Female,ON,medium,old_people
Female,AB,medium,old_people
Female,AB,medium,young_people
Female,QC,low,old_people
Female,AB,medium,young_people
Female,ON,medium,old_people
Male,ON,medium,adult
Female,ON,medium,very_old_people
Male,NL,low,young_people
Male,QC,low,very_old_people
Female,ON,high,adult
Male,NS,medium,adult
Male,BC,medium,adult
Female,ON,medium,adult
Female,BC,high,old_people
Female,ON,medium,adult
Female,ON,high,old_people
Male,QC,medium,very_old_people
Male,ON,medium,young_people
Female,ON,high,adult
Female,ON,medium,old_people
Female,BC,medium,old_people
Female,NS,high,adult
Male,BC,medium,adult
Male,NB,medium,old_people
Male,NL,medium,adult
Female,BC,high,old_people
Male,AB,medium,adult
Male,SK,medium,very_old_people
Male,QC,medium,old_people
Male,MB,medium,adult
Female,BC,high,old_people
Female,NS,medium,very_old_people
Female,MB,high,old_people
Male,QC,medium,old_people
Female,ON,medium,adult
Female,BC,medium,adult
Male,BC,medium,old_people
Female,NS,low,old_people
Female,NB,high,adult
Female,NS,medium,adult
Male,MB,high,very_old_people
Male,ON,high,very_old_people
Male,QC,medium,old_people
Female,BC,high,old_people
Female,QC,medium,old_people
Female,NS,high,old_people
Female,BC,medium,adult
Male,ON,high,very_old_people
Female,BC,high,adult
Male,QC,high,old_people
Female,ON,medium,very_old_people
Female,AB,medium,adult
Female,BC,medium,very_old_people
Female,ON,medium,very_old_people
Female,NS,low,very_old_people
Male,ON,high,adult
Female,QC,high,very_old_people
Female,ON,high,young_people
Male,SK,medium,old_people
Male,NB,high,old_people
Male,NL,high,adult
Female,SK,high,young_people
Female,NB,medium,old_people
Female,MB,medium,old_people
Male,NS,medium,adult
Male,NS,high,old_people
Female,ON,high,young_people
Male,ON,high,adult
Female,BC,low,old_people
Female,NL,low,adult
Male,QC,medium,old_people
Female,ON,medium,old_people
Male,SK,medium,adult
Female,QC,medium,old_people
Male,PE,medium,old_people
Female,ON,high,very_old_people
Male,QC,low,very_old_people
Female,NS,medium,very_old_people
Female,NS,high,young_people
Male,BC,medium,old_people
Male,QC,low,adult
Male,ON,medium,very_old_people
Female,BC,high,old_people
Female,NL,medium,old_people
Female,QC,medium,old_people
Male,QC,medium,old_people
Male,QC,high,young_people
Male,NB,low,old_people
Male,ON,high,old_people
Female,QC,medium,young_people
Male,NL,medium,young_people
Female,QC,low,very_old_people
Male,BC,high,very_old_people
Male,QC,medium,old_people
Male,BC,low,adult
Female,NL,medium,old_people
Female,BC,medium,very_old_people
Male,QC,low,young_people
Male,ON,low,old_people
Female,NS,medium,old_people
Female,ON,medium,adult
Female,ON,high,old_people
Male,ON,medium,very_old_people
Male,BC,medium,old_people
Male,NB,high,very_old_people
Male,QC,medium,adult
Male,ON,medium,old_people
Female,QC,high,old_people
Male,NB,high,adult
Female,QC,high,old_people
Female,ON,medium,adult
Male,AB,high,adult
Female,ON,low,old_people
Female,BC,high,old_people
Female,AB,medium,old_people
Female,NS,medium,adult
Female,QC,high,very_old_people
Male,ON,medium,very_old_people
Female,PE,medium,very_old_people
Female,QC,low,very_old_people
Female,MB,medium,old_people
Female,NB,medium,very_old_people
Female,NL,low,adult
Male,AB,medium,old_people
Female,QC,medium,old_people
Male,ON,medium,adult
Female,ON,medium,adult
Female,SK,medium,adult
Female,ON,medium,old_people
Female,NB,medium,adult
Female,ON,high,adult
Female,MB,medium,old_people
Female,ON,high,very_old_people
Female,ON,medium,old_people
Female,QC,medium,very_old_people
Female,SK,high,adult
Female,AB,high,old_people
Male,ON,medium,adult
Female,ON,high,adult
Female,ON,medium,young_people
Male,ON,high,old_people
Male,ON,medium,old_people
Female,PE,medium,old_people
Female,QC,medium,young_people
Female,ON,medium,adult
Male,SK,medium,adult
Male,ON,high,adult
Male,BC,medium,very_old_people
Male,AB,medium,adult
Female,MB,high,adult
Male,QC,high,old_people
Male,AB,medium,young_people
Female,PE,medium,adult
Female,QC,medium,old_people
Female,QC,medium,old_people
Male,QC,high,adult
Female,ON,medium,very_old_people
Male,MB,low,old_people
Female,QC,high,old_people
Male,ON,low,old_people
Female,SK,medium,old_people
Female,QC,high,young_people
Male,ON,medium,adult
Female,QC,medium,young_people
Male,QC,medium,old_people
Male,NL,medium,very_old_people
Female,QC,low,very_old_people
Female,AB,medium,adult
Male,PE,medium,old_people
Female,NL,medium,adult
Female,ON,medium,old_people
Male,NS,low,old_people
Female,NL,medium,adult
Female,BC,high,old_people
Male,AB,high,young_people
Female,ON,high,young_people
Male,NB,low,adult
Male,AB,medium,very_old_people
Female,QC,low,very_old_people
Female,SK,medium,very_old_people
Male,ON,high,old_people
Male,BC,medium,young_people
Female,ON,high,adult
Male,ON,high,old_people
Male,ON,high,very_old_people
Male,SK,high,very_old_people
Female,QC,low,adult
Female,QC,medium,young_people
Male,BC,high,adult
Female,ON,high,young_people
Female,ON,medium,old_people
Male,BC,medium,adult
Female,ON,medium,adult
Female,NL,medium,adult
Male,SK,medium,old_people
Female,BC,medium,old_people
Female,QC,medium,old_people
Female,NS,high,adult
Female,BC,high,old_people
Male,NL,medium,old_people
Female,AB,medium,very_old_people
Male,ON,high,young_people
Male,ON,medium,very_old_people
Male,AB,low,old_people
Male,QC,high,old_people
Female,QC,high,adult
Male,ON,medium,young_people
Female,ON,medium,old_people
Female,QC,low,old_people
Male,SK,medium,old_people
Female,ON,high,adult
Female,ON,medium,very_old_people
Male,NB,high,old_people
Female,PE,medium,young_people
Female,ON,high,adult
Male,BC,high,adult
Male,NS,high,adult
Female,QC,high,adult
Female,SK,medium,old_people
Female,AB,high,old_people
Male,ON,medium,adult
Male,QC,low,old_people
Male,ON,medium,adult
Male,QC,medium,old_people
Male,QC,low,very_old_people
Female,AB,medium,young_people
Male,AB,medium,old_people
Male,ON,medium,adult
Male,NL,low,adult
Female,BC,high,very_old_people
Female,ON,high,adult
Male,QC,high,adult
Female,MB,medium,young_people
Male,ON,medium,old_people
Female,ON,medium,young_people
Female,NB,high,old_people
Female,MB,medium,old_people
Female,SK,medium,adult
Male,ON,high,old_people
Male,NS,high,old_people
Female,ON,medium,old_people
Male,NL,medium,old_people
Male,ON,medium,adult
Male,NS,medium,adult
Male,MB,medium,old_people
Female,NS,high,old_people
Female,QC,medium,old_people
Female,ON,medium,very_old_people
Female,ON,high,adult
Male,MB,low,old_people
Female,QC,medium,old_people
Male,QC,low,adult
Male,MB,medium,young_people
Female,MB,medium,old_people
Male,QC,high,adult
Male,AB,high,old_people
Female,PE,low,very_old_people
Female,QC,medium,very_old_people
Male,ON,high,adult
Female,ON,high,young_people
Female,ON,medium,old_people
Male,BC,medium,adult
Male,BC,medium,old_people
Female,NB,low,very_old_people
Male,ON,high,very_old_people
Female,SK,medium,old_people
Male,QC,medium,old_people
Female,ON,medium,adult
Female,BC,medium,adult
Male,MB,high,old_people
Male,MB,medium,adult
Female,ON,high,old_people
Male,SK,medium,old_people
Female,ON,medium,very_old_people
Male,QC,high,old_people
Female,NL,high,old_people
Female,ON,medium,adult
Male,AB,high,young_people
Male,BC,medium,very_old_people
Male,NL,medium,old_people
Male,BC,medium,old_people
Female,BC,medium,young_people
Female,BC,high,old_people
Female,PE,high,old_people
Female,SK,medium,young_people
Female,NL,medium,old_people
Female,NS,high,adult
Female,ON,high,very_old_people
Female,BC,high,old_people
Female,QC,medium,old_people
Female,ON,medium,very_old_people
Female,SK,medium,young_people
Male,QC,medium,old_people
Female,QC,medium,young_people
Female,QC,low,adult
Male,ON,low,very_old_people
Male,QC,medium,old_people
Female,ON,medium,adult
Male,ON,medium,old_people
Female,ON,high,adult
Female,PE,low,adult
Female,ON,low,old_people
Male,BC,medium,young_people
Male,AB,medium,adult
Male,QC,high,old_people
Female,BC,medium,old_people
Female,NB,medium,very_old_people
Female,QC,medium,old_people
Male,PE,high,old_people
Male,PE,high,very_old_people
Male,NB,medium,old_people
Female,ON,high,old_people
Male,ON,medium,old_people
Male,NB,high,adult
Male,ON,high,adult
Female,AB,medium,adult
Female,QC,medium,adult
Female,ON,medium,very_old_people
Female,ON,medium,old_people
Female,BC,medium,old_people
Male,ON,medium,old_people
Female,ON,medium,young_people
Female,AB,medium,very_old_people
Female,ON,high,adult
Female,ON,high,adult
Female,MB,high,adult
Female,BC,medium,very_old_people
Male,NL,high,old_people
Female,NB,high,young_people
Male,BC,medium,adult
Male,NB,medium,very_old_people
Male,ON,high,adult
Male,MB,medium,adult
Female,BC,high,adult
Male,ON,medium,young_people
Male,NL,low,old_people
Female,SK,low,very_old_people
Female,ON,low,young_people
Male,AB,medium,old_people
Female,QC,high,old_people
Female,PE,low,old_people
Male,BC,medium,young_people
Female,ON,medium,very_old_people
Male,ON,medium,old_people
Male,AB,high,adult
Male,ON,low,old_people
Male,NS,low,very_old_people
Female,NL,low,old_people
Female,NL,medium,old_people
Female,AB,high,old_people
Female,ON,medium,old_people
Female,AB,high,adult
Male,ON,medium,young_people
Male,QC,low,very_old_people
Female,AB,medium,adult
Male,ON,medium,adult
Male,ON,medium,adult
Male,NB,medium,adult
Male,ON,high,old_people
Female,ON,medium,old_people
Male,ON,medium,old_people
Male,NS,medium,adult
Female,NB,medium,adult
Female,ON,medium,old_people
Male,SK,medium,adult
Male,AB,medium,very_old_people
Female,ON,low,very_old_people
Male,MB,low,adult
Male,AB,medium,adult
Male,ON,high,adult
Female,BC,medium,adult
Male,AB,medium,very_old_people
Male,NS,high,very_old_people
Male,NS,high,very_old_people
Male,PE,medium,young_people
Female,NB,medium,old_people
Male,PE,low,old_people
Male,PE,low,adult
Male,NL,medium,old_people
Female,QC,low,old_people
Female,QC,high,adult
Female,QC,medium,adult
Female,QC,low,very_old_people
Male,MB,low,very_old_people
Male,ON,medium,adult
Female,NB,medium,young_people
Male,QC,medium,adult
Female,NS,high,old_people
Female,BC,high,adult
Female,AB,medium,old_people
Male,BC,medium,adult
Male,QC,medium,old_people
Female,AB,medium,adult
Male,QC,medium,old_people
Female,QC,medium,young_people
Male,SK,low,young_people
Male,NL,low,old_people
Female,BC,medium,adult
Female,MB,medium,old_people
Female,QC,medium,very_old_people
Female,AB,medium,adult
Male,NS,high,old_people
Male,BC,medium,young_people
Male,BC,high,old_people
Male,ON,low,very_old_people
Female,QC,medium,old_people
Male,ON,high,old_people
Male,AB,high,old_people
Female,NB,medium,very_old_people
Female,NS,high,very_old_people
Male,ON,high,very_old_people
Female,ON,high,very_old_people
Male,NB,medium,old_people
Female,ON,low,old_people
Male,MB,high,adult
Male,ON,medium,very_old_people
Male,BC,high,very_old_people
Male,BC,medium,adult
Female,SK,high,old_people
Male,QC,medium,young_people
Male,ON,high,old_people
Female,ON,high,old_people
Male,BC,medium,old_people
Female,ON,high,adult
Female,NS,medium,old_people
Female,SK,medium,old_people
Male,ON,medium,old_people
Male,PE,medium,old_people
Female,MB,low,old_people
Female,ON,medium,very_old_people
Male,ON,medium,very_old_people
Male,BC,high,very_old_people
Male,NS,high,adult
Male,ON,low,adult
Female,SK,medium,young_people
Female,NB,high,old_people
Female,QC,medium,adult
Female,ON,high,young_people
